 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
 1.7063900350412183E9,-216.1362982,-537.5881792,-1919.376496,-179.2758443
 1.7063900350412183E9,0,0,0,0
 1.7063900350558708E9,-236.2420004,-611.3090872,-2021.580482,-215.1788839
 1.7063900350558708E9,-228.3433317,-499.5309573,-1832.251786,-164.9146284
 1.7063900350702994E9,-230.7368677,-622.3193526,-1993.336757,-221.1627238
 1.7063900350702994E9,-250.8425698,-651.5204915,-2074.956334,-229.5400997
 1.706390035071041E9,-269.2727968,-542.8539584,-1880.840567,-169.941054
 1.706390035071041E9,-250.124509,-592.1607994,-1918.419081,-191.4828777
 1.7063900350847864E9,-257.7838241,-696.5189677,-2105.354241,-237.678122
 1.7063900350847864E9,-273.341808,-577.7995836,-1951.689231,-178.7971371
 1.7063900351005192E9,-253.714813,-548.1197375,-1865.76129,-173.5313579
 1.7063900351005192E9,-254.4328738,-681.6790447,-2068.254433,-236.7207076
 1.706390035101076E9,-266.8792608,-624.2341814,-2020.14436,-198.9028392
 1.706390035101076E9,-263.7676641,-518.9185987,-1846.373649,-167.3081644
 1.706390035114902E9,-250.3638626,-638.5953972,-2002.432194,-220.9233702
 1.706390035114902E9,-263.2889569,-666.1210609,-2079.982759,-215.8969446
 1.7063900351305485E9,-270.4695648,-542.8539584,-1885.388285,-159.4094957
 1.7063900351305485E9,-250.8425698,-587.613081,-1919.137142,-201.7750824
 1.7063900351312284E9,-256.3477026,-687.1841775,-2097.694926,-243.1832547
 1.7063900351312284E9,-261.6134817,-577.3208764,-1957.673071,-183.3448554
 1.7063900351446085E9,-244.6193763,-543.093312,-1872.941898,-186.4564522
 1.7063900351446085E9,-242.7045475,-654.8714418,-2047.670024,-236.481354
 1.706390035160554E9,-257.0657634,-627.8244854,-2039.771355,-213.5034087
 1.706390035160554E9,-260.1773601,-527.2959746,-1857.14456,-170.4197612
 1.7063900351611655E9,-245.3374371,-640.9889332,-2005.543791,-234.3271716
 1.7063900351611655E9,-254.6722274,-659.6585138,-2075.913748,-231.2155749
 1.7063900351746557E9,-267.5973216,-539.7423616,-1885.148931,-178.5577835
 1.7063900351746557E9,-246.0554979,-589.0492026,-1932.540944,-212.0672871
 1.7063900351903677E9,-255.1509346,-695.5615534,-2102.960705,-241.0290723
 1.7063900351903677E9,-257.7838241,-567.2680253,-1942.833148,-185.4990378
 1.7063900351911E9,-236.7207076,-541.4178368,-1872.223837,-187.174513
 1.7063900351911E9,-241.5077795,-675.6952048,-2075.913748,-245.3374371
 1.706390035205037E9,-260.8954209,-625.1915958,-2031.872686,-217.0937126
 1.706390035205037E9,-253.2361058,-519.3973058,-1849.963952,-177.3610155
 1.7063900352206087E9,-233.3697572,-630.9360821,-2006.740559,-228.8220389
 1.7063900352206087E9,-250.6032162,-661.5733426,-2080.940174,-226.9072101
 1.7063900352212703E9,-253.4754594,-523.7056706,-1877.968323,-175.4461867
 1.7063900352212703E9,-233.1304036,-578.5176443,-1925.360336,-207.7589223
 1.7063900352346988E9,-248.6883875,-691.2531886,-2106.311655,-245.3374371
 1.7063900352346988E9,-264.0070177,-572.0550972,-1953.125353,-194.5944745
 1.7063900352502964E9,-252.518045,-546.4442623,-1875.09608,-194.5944745
 1.7063900352502964E9,-243.9013155,-685.0299951,-2074.71698,-243.6619619
 1.706390035251017E9,-239.5929508,-607.4794296,-2012.006338,-193.8764137
 1.706390035251017E9,-231.4549285,-502.1638469,-1826.267946,-152.707595
 1.7063900352647233E9,-230.0188069,-639.5528116,-2007.697973,-229.5400997
 1.7063900352647233E9,-248.4490339,-659.6585138,-2077.589223,-224.7530277
 1.7063900352803805E9,-248.2096803,-519.876013,-1870.309008,-167.547518
 1.7063900352803805E9,-233.6091108,-581.3898875,-1922.9668,-210.1524583
 1.706390035281135E9,-241.9864867,-681.2003375,-2106.790362,-243.4226083
 1.706390035281135E9,-254.1935202,-558.8906494,-1945.226684,-183.584209
 1.7063900352949307E9,-226.1891493,-531.3649857,-1864.325168,-178.7971371
 1.7063900352949307E9,-232.1729892,-660.137221,-2065.142836,-240.5503651
 1.7063900353102527E9,-264.0070177,-626.867071,-2025.410139,-211.1098727
 1.7063900353102527E9,-243.1832547,-513.6528195,-1837.996273,-161.8030317
 1.7063900353253188E9,-224.7530277,-630.9360821,-1996.687708,-218.5298342
 1.7063900353253188E9,-244.3800227,-653.4353203,-2073.041505,-221.8807846
 1.7063900353261485E9,-247.0129123,-521.072781,-1875.814141,-168.0262252
 1.7063900353261485E9,-227.3859173,-578.5176443,-1931.583529,-205.8440936
 1.706390035340826E9,-243.4226083,-684.5512879,-2103.200058,-248.2096803
 1.706390035340826E9,-253.9541666,-568.7041469,-1952.167938,-189.3286954
 1.7063900353410518E9,-237.9174756,-542.6146048,-1871.984483,-185.7383914
 1.7063900353410518E9,-230.9762213,-664.6849393,-2071.36603,-248.2096803
 1.7063900353547876E9,-251.321277,-621.3619382,-2026.1282,-217.8117734
 1.7063900353547876E9,-241.2684259,-512.6954051,-1842.065284,-177.3610155
 1.7063900353704233E9,-222.5988454,-626.867071,-2006.261851,-228.3433317
 1.7063900353704233E9,-243.6619619,-657.2649778,-2074.238273,-230.7368677
 1.7063900353712327E9,-243.6619619,-523.2269634,-1877.489616,-171.8558828
 1.7063900353712327E9,-216.6150054,-571.3370364,-1924.642275,-205.60474
 1.7063900353848605E9,-232.89105,-681.4396911,-2096.976865,-246.7735587
 1.7063900353848605E9,-249.1670946,-561.5235389,-1939.242844,-185.2596842
 1.7063900354004347E9,-225.9497957,-535.4339969,-1868.394179,-190.7648169
 1.7063900354004347E9,-222.838199,-669.4720113,-2060.116411,-242.9439011
 1.706390035401162E9,-241.7471331,-615.6174519,-2015.596642,-213.9821159
 1.706390035401162E9,-227.8646245,-504.5573828,-1841.107869,-179.2758443
