 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
 1.7081038997373123E9, -375.30644035339355, -1700.8466614484787, -2179.3145021796227, -288.89979177713394
 1.7081038997373123E9, -354.48267740011215, -1606.7806977629662, -2078.3072841763496, -442.3254475593567
 1.7081038997517664E9, -285.78819501399994, -1660.874610722065, -2100.0884615182877, -274.5385759472847
 1.7081038997517664E9, -354.96138459444046, -1724.54266756773, -2192.9576572179794, -236.0026468038559
 1.708103899766245E9, -372.19484359025955, -1623.535449564457, -2114.449677348137, -420.7836238145828
 1.708103899766245E9, -298.9526428580284, -1629.0405822992325, -2078.546637773514, -351.6104342341423
 1.708103899766994E9, -323.6060633659363, -1731.7232754826546, -2189.367353260517, -210.63116550445557
 1.708103899766994E9, -387.27412021160126, -1668.0552186369896, -2167.107468724251, -379.13609790802
 1.7081038997805595E9, -324.32412415742874, -1612.0464769005775, -2070.887322664261, -410.73077273368835
 1.7081038997805595E9, -304.45777559280396, -1710.4208053350449, -2154.900435268879, -227.6252709031105
 1.7081038997962172E9, -373.3916115760803, -1704.9156726002693, -2190.564121246338, -305.6545435786247
 1.7081038997962172E9, -355.9187989830971, -1612.5251840949059, -2092.1897928118706, -457.64407777786255
 1.708103899796966E9, -285.78819501399994, -1665.422329068184, -2112.5348485708237, -290.575266957283
 1.708103899796966E9, -349.4562518596649, -1728.1329715251923, -2203.249861896038, -248.20968025922775
 1.7081038998105743E9, -372.4341971874237, -1630.2373502850533, -2119.476102888584, -429.40035331249237
 1.7081038998105743E9, -291.2933277487755, -1620.663206398487, -2078.0679305791855, -352.5678486227989
 1.708103899826234E9, -320.73382019996643, -1724.782021164894, -2188.888646066189, -211.58857989311218
 1.708103899826234E9, -382.72640186548233, -1670.4487546086311, -2163.7565183639526, -372.19484359025955
 1.7081038998269486E9, -325.9995993375778, -1614.6793664693832, -2075.43504101038, -419.58685582876205
 1.7081038998269486E9, -309.24484753608704, -1713.0536949038506, -2158.9694464206696, -232.8910500407219
 1.708103899840588E9, -385.83799862861633, -1717.1227060556412, -2206.600812256336, -316.6648090481758
 1.708103899840588E9, -363.57811409235, -1616.1154880523682, -2096.7375111579895, -456.9260169863701
 1.708103899856228E9, -301.34617882966995, -1678.8261305093765, -2124.5025284290314, -287.463670194149
 1.708103899856228E9, -354.7220309972763, -1731.2445682883263, -2205.8827514648438, -246.05549788475037
 1.708103899856954E9, -376.024501144886, -1632.870239853859, -2122.587699651718, -431.7938892841339
 1.708103899856954E9, -295.12298530340195, -1624.9715711474419, -2073.2808586359024, -345.62659430503845
 1.7081038998705757E9, -318.8189914226532, -1724.54266756773, -2178.8357949852943, -204.88667917251587
